Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL
SSD,SSDPED1D280GASX,Intel,900P Optane NVMe PCIe 280GB,1,439,1606,https://ssd.userbenchmark.com/SpeedTest/315555/INTEL-SSDPED1D280GA
SSD,SSDPE21D280GASX,Intel,900P Optane NVMe PCIe 280GB,1,439,1606,https://ssd.userbenchmark.com/SpeedTest/315555/INTEL-SSDPED1D280GA
SSD,SSDPED1D960GAX1,Intel,905P Optane NVMe PCIe 960GB,2,435,344,https://ssd.userbenchmark.com/SpeedTest/498903/INTEL-SSDPED1D960GAY
SSD,SSDPED1D480GASX,Intel,900P Optane NVMe PCIe 480GB,3,434,794,https://ssd.userbenchmark.com/SpeedTest/375784/INTEL-SSDPED1D480GA
SSD,SSDPE21D480GASX,Intel,900P Optane NVMe PCIe 480GB,3,434,794,https://ssd.userbenchmark.com/SpeedTest/375784/INTEL-SSDPED1D480GA
SSD,SB-ROCKET-NVMe4-2TB,Sabrent,Rocket 4 NVMe PCIe M.2 2TB,4,392,1218,https://ssd.userbenchmark.com/SpeedTest/847932/Sabrent-ROCKET-40-2TB
SSD,CSSD-F2000GBMP600,Corsair,Force MP600 NVMe PCIe M.2 2TB,5,383,1924,https://ssd.userbenchmark.com/SpeedTest/841469/Force-MP600
SSD,SB-ROCKET-NVMe4-1TB,Sabrent,Rocket 4 NVMe PCIe M.2 1TB,6,369,12081,https://ssd.userbenchmark.com/SpeedTest/844208/Sabrent-ROCKET-40-1TB
SSD,GP-ASM2NE6100TTTD,Gigabyte,Aorus NVMe PCIe M.2 1TB,7,366,4111,https://ssd.userbenchmark.com/SpeedTest/842989/GIGABYTE-GP-ASM2NE6100TTTD
SSD,GP-ASM2NE6200TTTD,Gigabyte,Aorus NVMe PCIe M.2 2TB,8,361,1013,https://ssd.userbenchmark.com/SpeedTest/844144/GIGABYTE-GP-ASM2NE6200TTTD
SSD,CSSD-F1000GBMP600,Corsair,Force MP600 NVMe PCIe M.2 1TB,9,358,11022,https://ssd.userbenchmark.com/SpeedTest/843047/Force-MP600
SSD,MZ-V7P512BW,Samsung,970 Pro NVMe PCIe M.2 512GB,10,332,54841,https://ssd.userbenchmark.com/SpeedTest/498971/Samsung-SSD-970-PRO-512GB
SSD,MZ-V7P1T0BW,Samsung,970 Pro NVMe PCIe M.2 1TB,11,331,20586,https://ssd.userbenchmark.com/SpeedTest/497261/Samsung-SSD-970-PRO-1TB
SSD,MZ-V7S2T0BW,Samsung,970 Evo Plus NVMe PCIe M.2 2TB,12,326,5742,https://ssd.userbenchmark.com/SpeedTest/798635/Samsung-SSD-970-EVO-Plus-2TB
SSD,MZ-V7S2T0B/AM,Samsung,970 Evo Plus NVMe PCIe M.2 2TB,12,326,5742,https://ssd.userbenchmark.com/SpeedTest/798635/Samsung-SSD-970-EVO-Plus-2TB
SSD,MZ-V7S1T0BW,Samsung,970 Evo Plus NVMe PCIe M.2 1TB,13,324,81520,https://ssd.userbenchmark.com/SpeedTest/693540/Samsung-SSD-970-EVO-Plus-1TB
SSD,MZ-V7S1T0B/AM,Samsung,970 Evo Plus NVMe PCIe M.2 1TB,13,324,81520,https://ssd.userbenchmark.com/SpeedTest/693540/Samsung-SSD-970-EVO-Plus-1TB
SSD,MZ-V7E1T0BW,Samsung,970 Evo NVMe PCIe M.2 1TB,14,306,110681,https://ssd.userbenchmark.com/SpeedTest/494791/Samsung-SSD-970-EVO-1TB
SSD,5MS24AA#ABC,HP,EX950 NVMe PCIe M.2 2TB,15,305,1036,https://ssd.userbenchmark.com/SpeedTest/710813/HP-SSD-EX950-2TB
SSD,5MS23AA#ABC,HP,EX950 NVMe PCIe M.2 1TB,16,303,1722,https://ssd.userbenchmark.com/SpeedTest/706053/HP-SSD-EX950-1TB
SSD,ASX8200PNP-1TT-C,Adata,XPG SX8200 Pro NVMe PCIe M.2 1TB,17,300,28284,https://ssd.userbenchmark.com/SpeedTest/638791/ADATA-SX8200PNP
SSD,ASX8200PNP-2TT-C,Adata,XPG SX8200 Pro NVMe PCIe M.2 2TB,18,300,99,https://ssd.userbenchmark.com/SpeedTest/892867/NVMe-ADATA-SX8200PNP
