Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL,Effective Speed,Average Score,Overclocked Score,Value & Sentiment,Code Name,Launch Date,Processor Number,# of Cores,# of Threads,Max TDP,Price,Sockets Supported
CPU,BX80684I99900KS,Intel,Core i9-9900KS,1,103,6462,https://cpu.userbenchmark.com/SpeedTest/929964/IntelR-CoreTM-i9-9900KS-CPU---400GHz,14,19,17,-3307,,Q4'19,i9-9900KS,8,16,127,,FCLGA1151
CPU,BX8070110900K,Intel,Core i9-10900K,2,103,2102,https://cpu.userbenchmark.com/Intel-Core-i9-10900K/Rating/4071,,,,,,Q2'20,i9-10900K,10,20,125,,FCLGA1200
CPU,BX8070110900KF,Intel,Core i9-10900KF,3,102,64,https://cpu.userbenchmark.com/SpeedTest/1174369/IntelR-CoreTM-i9-10900KF-CPU---370GHz,14,20,18,,,Q2'20,i9-10900KF,10,20,125,,FCLGA1200
CPU,BX8070110700K,Intel,Core i7-10700K,4,99.6,6496,https://cpu.userbenchmark.com/Intel-Core-i7-10700K/Rating/4070,,,,,,Q2'20,i7-10700K,8,16,125,,FCLGA1200
CPU,BX8070110900F,Intel,Core i9-10900F,5,99.5,39,https://cpu.userbenchmark.com/SpeedTest/1196789/IntelR-CoreTM-i9-10900F-CPU---280GHz,10,15,13,,,Q2'20,i9-10900F,10,20,65,,FCLGA1200
CPU,,Intel,Core i9-10900,6,99.3,236,https://cpu.userbenchmark.com/SpeedTest/1169242/IntelR-CoreTM-i9-10900-CPU---280GHz,10,16,13,-2532,,Q2'20,i9-10900,10,20,65,,FCLGA1200
CPU,BX80684I99900KF,Intel,Core i9-9900KF,7,99.1,9730,https://cpu.userbenchmark.com/SpeedTest/764533/IntelR-CoreTM-i9-9900KF-CPU---360GHz,10,14,13,-750,,Q1'19,i9-9900KF,8,16,95,474,FCLGA1151
CPU,BX8070110700KF,Intel,Core i7-10700KF,8,99.1,30,https://cpu.userbenchmark.com/SpeedTest/1171560/IntelR-CoreTM-i7-10700KF-CPU---380GHz,10,14,15,,,Q2'20,i7-10700KF,8,16,125,,FCLGA1200
CPU,BX80684I99900K,Intel,Core i9-9900K,9,99,168402,https://cpu.userbenchmark.com/Intel-Core-i9-9900K/Rating/4028,,,,,Coffee Lake,Q4'18,i9-9900K,8,16,95,430,FCLGA1151
CPU,BX80684I79700KF,Intel,Core i7-9700KF,10,98.6,10565,https://cpu.userbenchmark.com/SpeedTest/710154/IntelR-CoreTM-i7-9700KF-CPU---360GHz,9,13,12,-427,,Q1'19,i7-9700KF,8,8,95,388,FCLGA1151
CPU,BX80684I79700K,Intel,Core i7-9700K,11,98.4,225268,https://cpu.userbenchmark.com/Intel-Core-i7-9700K/Rating/4030,,,,,Coffee Lake,Q4'18,i7-9700K,8,8,95,330,FCLGA1151
CPU,BX8070110600K,Intel,Core i5-10600K,12,96.8,1137,https://cpu.userbenchmark.com/Intel-Core-i5-10600K/Rating/4072,,,,,,Q2'20,i5-10600K,6,12,125,,FCLGA1200
CPU,BX8070110700F,Intel,Core i7-10700F,13,96.4,30,https://cpu.userbenchmark.com/SpeedTest/1183814/IntelR-CoreTM-i7-10700F-CPU---290GHz,7,10,8,,,Q2'20,i7-10700F,8,16,65,,FCLGA1200
CPU,BX8070110700,Intel,Core i7-10700,14,96.1,1742,https://cpu.userbenchmark.com/Intel-Core-i7-10700/Rating/4077,7,10,8,-243,,Q2'20,i7-10700,8,16,65,,FCLGA1200
CPU,BX80684I59600K,Intel,Core i5-9600K,15,95.8,135436,https://cpu.userbenchmark.com/Intel-Core-i5-9600K/Rating/4031,,,,,Coffee Lake,Q4'18,i5-9600K,6,6,95,191,FCLGA1151
CPU,BX8070110600KF,Intel,Core i5-10600KF,16,95.6,2,https://cpu.userbenchmark.com/SpeedTest/1225152/IntelR-CoreTM-i5-10600KF-CPU---410GHz,6,8,2,,,Q2'20,i5-10600KF,6,12,125,,FCLGA1200
CPU,BX80684I99900,Intel,Core i9-9900,17,95.4,3064,https://cpu.userbenchmark.com/SpeedTest/816115/IntelR-CoreTM-i9-9900-CPU---310GHz,6,9,8,-655,,Q2'19,i9-9900,8,16,65,,FCLGA1151
CPU,BX80684I59600KF,Intel,Core i5-9600KF,18,95.1,22506,https://cpu.userbenchmark.com/SpeedTest/772658/IntelR-CoreTM-i5-9600KF-CPU---370GHz,5,2,6,-102,,Q1'19,i5-9600KF,6,6,95,170,FCLGA1151
CPU,BX80684I78086K,Intel,Core i7-8086K,19,94.9,24450,https://cpu.userbenchmark.com/SpeedTest/516988/IntelR-CoreTM-i7-8086K-CPU---400GHz,5,5,10,-696,Coffee Lake,Q2'18,i7-8086K,6,12,95,720,
CPU,BX8070110600,Intel,Core i5-10600,20,94.9,339,https://cpu.userbenchmark.com/Intel-Core-i5-10600/Rating/4069,5,5,2,-998,,Q2'20,i5-10600,6,12,65,,FCLGA1200
CPU,BX80684I79700F,Intel,Core i7-9700F,21,94.7,12156,https://cpu.userbenchmark.com/SpeedTest/816132/IntelR-CoreTM-i7-9700F-CPU---300GHz,6,8,5,-213,,Q2'19,i7-9700F,8,8,65,315,FCLGA1151
CPU,BX80684I78700K,Intel,Core i7-8700K,22,94.4,434481,https://cpu.userbenchmark.com/Intel-Core-i7-8700K/Rating/3937,5,4,8,-32,Coffee Lake,Q4'17,i7-8700K,6,12,95,431,
CPU,BX80684I79700,Intel,Core i7-9700,23,94.4,24995,https://cpu.userbenchmark.com/SpeedTest/816180/IntelR-CoreTM-i7-9700-CPU---300GHz,5,7,5,-157,,Q2'19,i7-9700,8,8,65,378,FCLGA1151
CPU,BX80684I59600,Intel,Core i5-9600,24,93.5,283,https://cpu.userbenchmark.com/SpeedTest/853186/IntelR-CoreTM-i5-9600-CPU---310GHz,4,1,,,,Q2'19,i5-9600,6,6,65,,FCLGA1151
CPU,BX80684I58600K,Intel,Core i5-8600K,25,93.4,154994,https://cpu.userbenchmark.com/Intel-Core-i5-8600K/Rating/3941,4,,5,-80,Coffee Lake,Q4'17,i5-8600K,6,6,95,277,
